                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.253,                 1.4359,                 1.1378,                0.84825,                0.82187,                0.79997,                0.50325,                 1.2804,                 1.0941,                 1.1837,             0.00066516,             0.00066516,             0.00066516
                      2,                 1.2736,                 0.8585,                 1.1566,                0.90133,                0.85786,                0.90058,                0.56341,                 1.2649,                0.93046,                   1.18,              0.0012879,              0.0012879,              0.0012879
                      3,                 1.2803,                0.78172,                 1.1616,                0.94426,                0.84601,                0.91948,                0.59384,                 1.2661,                0.76505,                 1.2092,              0.0018666,              0.0018666,              0.0018666
                      4,                 1.2471,                0.74179,                 1.1405,                0.93952,                0.86606,                0.92381,                0.58522,                 1.3293,                0.67815,                  1.178,               0.001802,               0.001802,               0.001802
                      5,                 1.2218,                0.69948,                 1.1357,                0.94706,                 0.8883,                0.92719,                0.61878,                 1.2221,                0.63736,                 1.1442,               0.001802,               0.001802,               0.001802
                      6,                 1.1952,                0.67171,                 1.1183,                 0.9722,                 0.9081,                0.95171,                 0.6382,                 1.1727,                0.58647,                 1.1214,               0.001736,               0.001736,               0.001736
                      7,                 1.1966,                0.65024,                 1.1204,                0.96606,                0.91481,                0.95181,                0.63588,                 1.1733,                0.59492,                 1.1195,                0.00167,                0.00167,                0.00167
                      8,                 1.1786,                0.62154,                 1.0983,                0.96364,                0.91756,                0.95359,                0.65596,                 1.1448,                0.55978,                 1.1006,               0.001604,               0.001604,               0.001604
                      9,                 1.1673,                0.60871,                  1.098,                0.97326,                0.91754,                0.95681,                0.63911,                 1.1877,                 0.5558,                  1.122,               0.001538,               0.001538,               0.001538
                     10,                 1.1621,                0.59156,                  1.095,                 0.9713,                0.92526,                0.95693,                0.65584,                  1.181,                0.52022,                 1.1027,               0.001472,               0.001472,               0.001472
                     11,                 1.1551,                 0.5843,                 1.0905,                0.97405,                0.91071,                0.95666,                0.66438,                 1.1367,                0.51308,                 1.0925,               0.001406,               0.001406,               0.001406
                     12,                 1.1379,                 0.5687,                 1.0787,                0.96818,                0.92437,                0.95571,                0.66023,                 1.1466,                 0.5185,                 1.0905,                0.00134,                0.00134,                0.00134
                     13,                 1.1258,                0.55639,                 1.0761,                0.97924,                0.92938,                0.96552,                0.66255,                 1.1501,                0.50675,                 1.0838,               0.001274,               0.001274,               0.001274
                     14,                 1.1163,                0.54156,                 1.0715,                0.97993,                0.92528,                0.96327,                0.67269,                 1.1297,                0.48149,                 1.0786,               0.001208,               0.001208,               0.001208
                     15,                 1.1145,                0.54452,                 1.0695,                0.97768,                0.92665,                0.96394,                0.67169,                 1.1425,                0.50071,                 1.0753,               0.001142,               0.001142,               0.001142
                     16,                 1.1179,                0.53383,                 1.0695,                0.97702,                0.92967,                 0.9671,                0.67641,                 1.1067,                0.47371,                 1.0718,               0.001076,               0.001076,               0.001076
                     17,                 1.0864,                0.51404,                 1.0569,                0.98055,                0.92938,                0.96521,                0.68812,                 1.1037,                 0.4515,                 1.0595,                0.00101,                0.00101,                0.00101
                     18,                 1.0959,                 0.5144,                 1.0594,                0.98102,                 0.9344,                0.96701,                0.68585,                 1.0954,                0.46354,                 1.0584,               0.000944,               0.000944,               0.000944
                     19,                 1.0809,                0.50425,                 1.0519,                0.98462,                0.93309,                0.96684,                0.68104,                 1.1025,                0.45929,                 1.0686,               0.000878,               0.000878,               0.000878
                     20,                 1.0781,                0.50117,                 1.0534,                0.98088,                0.93483,                0.96897,                0.68493,                 1.0984,                0.44815,                 1.0581,               0.000812,               0.000812,               0.000812
                     21,                 1.0633,                0.45445,                 1.0661,                0.98044,                0.93607,                0.96647,                0.69162,                 1.0852,                0.46308,                  1.062,               0.000746,               0.000746,               0.000746
                     22,                 1.0576,                0.44707,                 1.0632,                0.98174,                0.94214,                0.96787,                0.68639,                 1.0942,                0.45087,                 1.0613,                0.00068,                0.00068,                0.00068
                     23,                 1.0563,                0.44086,                 1.0596,                 0.9853,                0.93394,                0.96721,                0.68987,                 1.0834,                0.44258,                 1.0559,               0.000614,               0.000614,               0.000614
                     24,                 1.0449,                0.43257,                 1.0552,                0.98056,                0.94241,                0.96822,                0.69259,                 1.0788,                0.44086,                 1.0528,               0.000548,               0.000548,               0.000548
                     25,                 1.0363,                0.42601,                 1.0505,                0.98576,                0.94635,                0.97278,                0.69912,                 1.0772,                0.43643,                 1.0522,               0.000482,               0.000482,               0.000482
                     26,                 1.0289,                0.41465,                 1.0496,                0.98851,                0.93394,                0.97117,                0.70174,                 1.0611,                0.42289,                 1.0411,               0.000416,               0.000416,               0.000416
                     27,                 1.0226,                0.40932,                 1.0482,                0.98514,                0.94487,                0.97121,                0.70075,                 1.0619,                 0.4208,                 1.0427,                0.00035,                0.00035,                0.00035
                     28,                 1.0134,                0.40193,                 1.0374,                0.98846,                0.93941,                0.97209,                0.70812,                 1.0612,                0.41295,                 1.0401,               0.000284,               0.000284,               0.000284
                     29,                0.99736,                 0.3916,                 1.0299,                0.98776,                 0.9426,                0.97143,                0.70378,                 1.0608,                0.40966,                 1.0403,               0.000218,               0.000218,               0.000218
                     30,                0.99427,                0.38919,                 1.0257,                0.98573,                0.94397,                0.97194,                 0.7075,                 1.0567,                0.40569,                 1.0378,               0.000152,               0.000152,               0.000152
